Model,Fold,Accuracy,ROC-AUC,F1
Logistic Regression,1,0.8515277138031629,0.9057688301455588,0.6589065255731923
Logistic Regression,2,0.8530405405405406,0.9087176891387623,0.6595517609391676
Logistic Regression,3,0.847051597051597,0.9046090447708208,0.6460554371002132
Logistic Regression,4,0.8495085995085995,0.9018846540436563,0.661134163208852
Logistic Regression,5,0.855036855036855,0.9062884407403738,0.6687719298245614
Random Forest,1,0.8570551205281745,0.9028359177923398,0.6792972786772304
Random Forest,2,0.8596437346437347,0.9075205438668187,0.6850447966919366
Random Forest,3,0.8525798525798526,0.9042468891379367,0.6703296703296703
Random Forest,4,0.8495085995085995,0.8988494480012879,0.6643835616438356
Random Forest,5,0.85995085995086,0.9073710377658345,0.6885245901639344
HistGradientBoosting,1,0.8734838016275142,0.9279534998483977,0.714087439278279
HistGradientBoosting,2,0.8722358722358723,0.9283500718248464,0.7117117117117117
HistGradientBoosting,3,0.8687039312039312,0.9262996195140677,0.7021943573667712
HistGradientBoosting,4,0.8693181818181818,0.924609452397464,0.7082619129242372
HistGradientBoosting,5,0.8776105651105651,0.9289106874545935,0.723551855705862
