Fold,Logistic_Regression_ROC_AUC,HistGradientBoosting_ROC_AUC,Difference_HGB_minus_LR
1,0.917045946447344,0.9301949992785439,0.013149052831199826
2,0.9121291113532792,0.9246927836668649,0.012563672313585683
3,0.9147126386962552,0.9286230268806552,0.013910388184400047
4,0.9176465185588799,0.9308518158476985,0.013205297288818585
5,0.9131187669242455,0.9277019970609601,0.014583230136714587
6,0.9131559177068886,0.9292901930189552,0.01613427531206657
7,0.9126254870880391,0.9276271795125817,0.015001692424542523
8,0.9108226421636616,0.9242095655009577,0.013386923337296075
9,0.9110027202628624,0.9225375222904695,0.011534802027607038
10,0.9205716267089361,0.9347265908790701,0.014154964170133955
