Feature,Importance,Importance_Std
marital_status,0.09104442450252166,0.001913373658137346
age,0.057410229876233565,0.0006683180088129234
capital_gain,0.05640011387326347,0.000989935819762843
education_num,0.03757034480609565,0.0005484173773340187
hours_per_week,0.016611727150745725,0.0002411434669658289
occupation,0.014863732830788678,0.0005598365172502455
capital_loss,0.014602595621141811,0.000492030546503838
relationship,0.005811017331106294,0.00023487693408355906
fnlwgt,0.004492067565353341,7.364376088704886e-05
workclass,0.0039287761740318,0.00016228616385357202
sex,0.0022882711570457294,0.00010147257570745788
native_country,0.0011295632368073737,0.00011532725116665208
race,0.0010853898828207865,0.00011466967350651652
education,0.0008134963136678941,2.714912249936567e-05
