age,education,marital_status,occupation,hours_per_week,proba
39,Some-college,Divorced,Prof-specialty,45,0.13613610896088296
47,HS-grad,Married-civ-spouse,Adm-clerical,40,0.36567404522528013
57,HS-grad,Married-civ-spouse,Transport-moving,40,0.37852376991839587
37,HS-grad,Divorced,Exec-managerial,70,0.07062892013795352
60,HS-grad,Married-civ-spouse,Sales,70,0.18696821534830824
57,HS-grad,Married-civ-spouse,Craft-repair,40,0.26995096960957815
36,HS-grad,Married-civ-spouse,Exec-managerial,45,0.35099497536268326
45,Bachelors,Divorced,Prof-specialty,48,0.14668377891802564
39,HS-grad,Married-civ-spouse,Transport-moving,55,0.34687934608783183
53,HS-grad,Married-civ-spouse,Other-service,30,0.32104155456611067
36,Some-college,Married-civ-spouse,Prof-specialty,20,0.14460886363071357
43,Bachelors,Divorced,Sales,40,0.18717892622470023
52,HS-grad,Married-civ-spouse,Protective-serv,40,0.3220087817475631
34,Some-college,Divorced,Prof-specialty,40,0.07684196201625686
35,Assoc-acdm,Married-civ-spouse,Adm-clerical,40,0.3344518056477848
36,Some-college,Married-civ-spouse,Machine-op-inspct,50,0.33891382126948455
62,HS-grad,Married-civ-spouse,Machine-op-inspct,40,0.22255146086240857
46,Bachelors,Never-married,Prof-specialty,40,0.1639642632010307
42,HS-grad,Married-civ-spouse,Transport-moving,60,0.30133437973938554
29,HS-grad,Married-civ-spouse,Machine-op-inspct,40,0.0820438768504379
60,Assoc-voc,Married-civ-spouse,Craft-repair,46,0.3154595985260226
30,Assoc-voc,Divorced,Sales,40,0.04149086278828805
44,Bachelors,Never-married,Other-service,40,0.097803852480464
51,Assoc-acdm,Married-civ-spouse,Exec-managerial,40,0.35056684681139166
54,HS-grad,Divorced,Transport-moving,56,0.24305594971910355
