age,education,marital_status,occupation,hours_per_week,proba
39,Masters,Never-married,Exec-managerial,40,0.42497377153879734
50,HS-grad,Married-civ-spouse,Craft-repair,40,0.4387704163761975
43,Bachelors,Married-civ-spouse,Prof-specialty,40,0.5260043349035326
43,Some-college,Married-civ-spouse,Adm-clerical,40,0.4178009197919909
40,Some-college,Married-civ-spouse,Craft-repair,52,0.483688066714567
37,Doctorate,Married-civ-spouse,Prof-specialty,45,0.8185177061753575
42,HS-grad,Married-civ-spouse,Adm-clerical,53,0.4847093498820909
32,Bachelors,Married-civ-spouse,Exec-managerial,40,0.42074237484651456
40,Prof-school,Married-civ-spouse,Prof-specialty,72,0.844932991595507
44,Some-college,Married-civ-spouse,Machine-op-inspct,40,0.5012912276758122
35,Masters,Married-civ-spouse,Prof-specialty,38,0.6915760429951566
35,Assoc-voc,Married-civ-spouse,Farming-fishing,55,0.5699485637973799
38,Some-college,Married-civ-spouse,Exec-managerial,40,0.5025812155180831
32,Bachelors,Married-civ-spouse,Prof-specialty,40,0.6045304143106569
33,Masters,Married-civ-spouse,Prof-specialty,40,0.6120915748643496
51,HS-grad,Married-civ-spouse,Transport-moving,50,0.46580221907856234
51,HS-grad,Married-civ-spouse,Adm-clerical,40,0.4489790708046055
56,Some-college,Married-civ-spouse,Sales,50,0.7161686464855983
35,Some-college,Married-civ-spouse,Exec-managerial,58,0.5968030331680192
56,HS-grad,Married-civ-spouse,Craft-repair,60,0.465739206596038
53,Some-college,Married-civ-spouse,Prof-specialty,40,0.6053928276950269
36,Prof-school,Married-civ-spouse,Prof-specialty,50,0.8146227051793403
32,Assoc-voc,Married-civ-spouse,Tech-support,40,0.4952348792288026
50,Bachelors,Married-civ-spouse,Adm-clerical,40,0.7220214032069794
45,Assoc-acdm,Married-civ-spouse,Craft-repair,66,0.40097271372950016
