feature,importance_mean,importance_std
marital_status,0.07794764088648612,0.0021006190516135825
capital_gain,0.05928300592228804,0.003007242567887615
age,0.04336009884236811,0.00375442186300511
education_num,0.029830753079796168,0.0021267329571146108
hours_per_week,0.013560736984379184,0.0011503254971852615
capital_loss,0.013310755040135392,0.0008018338621976994
occupation,0.012778497142031765,0.0009507439256220917
relationship,0.004060829842553892,0.0005943652931590346
workclass,0.0025065129691917765,0.00024349401211108156
sex,0.0022388234869276324,0.0004540333723982426
fnlwgt,0.0007799183879821259,0.00022969113684368145
race,0.0005647453622501964,0.00011587708120857468
native_country,0.00034576773075254417,0.0001656474178067359
education,-0.00024114752068671308,7.999895808245609e-05
